src,tgt
CC(C)(C)[Zn]Br,CC(C)(C)[Zn+]~[Br-]
CC(=O)O[Zn]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~O~O~[Zn+2]
CC[Zn]CC.Cc1ccccc1,CC[Zn]CC~Cc1ccccc1
O=S1(=O)O[Zn]O1,O=S(=O)([O-])[O-]~[Zn+2]
O=S1(=O)O[Zn]O1,O~O~O~O~O~O~O~O=S1(=O)O[Zn]O1
C1CCOC1.Cl[Zn]Cl,C1CCOC1~Cl[Zn]Cl
Br[Zn]C[Zn]C[Zn]Br.C1CCOC1,Br[Zn]C[Zn]C[Zn]Br~C1CCOC1
CCOCC.Cl[Zn]Cl,CCOCC~Cl[Zn]Cl
CCCCCC.CC[Zn]CC,CCCCCC~CC[Zn]CC
CN(C)CCN(C)C.Cl[Zn]Cl,CN(C)CCN(C)C~[Cl-]~[Cl-]~[Zn+2]
O=C(O[Zn]OC(=O)C(F)(F)F)C(F)(F)F,O~O=C(O[Zn]OC(=O)C(F)(F)F)C(F)(F)F
C[Zn]C.Cc1ccccc1,[CH-]=C/C=C(/C)C(C)=[Zn]~[CH3-]
Cl[Zn]Cl~[BH3-]C#N~[Na+],Cl[Zn]Cl~BC#N~[H-]~[Na+]
Br[Zn]Br~[Li]Br,Br[Zn]Br~[Br-]~[Li+]
O=[N+]([O-])O[Y](O[N+](=O)[O-])O[N+](=O)[O-],O~O~O~O~O~O~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~[Y+3]
CCCCC(CC)C(=O)O[Sn]OC(=O)C(CC)CCCC,CCCCCCCC(=O)O~[Sn]
CCCCC(CC)C(=O)O[Sn]OC(=O)C(CC)CCCC,CCCCCCCC(=O)[O-]~CCCCCCCC(=O)[O-]~[Sn+2]
O=C1O[Sn]OC1=O,O=C([O-])C(=O)[O-]~[Sn+2]
O=C1O[Sn]2(OC1=O)OC(=O)C(=O)O2,O=C([O-])C(=O)[O-]~O=C([O-])C(=O)[O-]~[Sn+4]
CCCC[Sn](/C=C/OCC)(CCCC)CCCC,CCCC[Sn](C=COCC)(CCCC)CCCC
C/C=C/[Sn](CCCC)(CCCC)CCCC,CC=C[Sn](CCCC)(CCCC)CCCC
C=C[Sn](CCCC)(CCCC)CCCC,CCCCC([Sn])=C(CCCC)CCCC
Cl[Sn]Cl,Cl[Sn]Cl~O
CCCC[Sn](CCCC)(CCCC)c1c(C)nnn1C,[2H]C([2H])([2H])c1nnn(C)c1[Sn](CCCC)(CCCC)CCCC
CCCC[SnH](CCCC)CCCC,CCCC[Sn](CCCC)CCCC
Cl[Sn](Cl)(Cl)Cl,Cl[Sn](Cl)(Cl)Cl~O
CCCC[Sn](/C=C/c1ccccc1)(CCCC)CCCC,CCCC[Sn](C=Cc1ccccc1)(CCCC)CCCC
C=CC[Sn](CCCC)(CCCC)CCCC,CCCCC(=CC([Sn])CCCC)CCCC
Cl[Sn]Cl,O~O~[Cl-]~[Sn+2]
CC(=O)O[Pb]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~O~O~O~[Pb+2]
O=C1O[Pb]O1,O=C([O-])[O-]~[Pb+2]
C1=N[Pb]N=1,[N-]=C=[N-]~[Pb+2]
O=[N+]([O-])O[Tl](O[N+](=O)[O-])O[N+](=O)[O-],O~O~O~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~[Tl+3]
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pt-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pt]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
Cl[Pt-2](Cl)(Cl)(Cl)(Cl)Cl~[H+]~[H+],Cl[Pt](Cl)(Cl)(Cl)(Cl)Cl~[H][H]
O=[Pt]=O,O~O=[Pt]=O
O=[Pt]=O,[Pt]O[Pt]
[Pt]~[S]~[C],[Pt]~[S]
Cl[Pt-2](Cl)(Cl)(Cl)(Cl)Cl~[H+]~[H+],Cl~Cl~Cl[Pt](Cl)(Cl)Cl~O~O~O~O~O~O
Cl[Pt-2](Cl)(Cl)(Cl)(Cl)Cl~[H+]~[H+],Cl[Pt-2](Cl)(Cl)(Cl)(Cl)Cl~O~O~O~O~O~O~[H+]~[H+]
Cl[Pt-2](Cl)(Cl)(Cl)(Cl)Cl~[H+]~[H+],Cl~Cl~Cl[Pt](Cl)(Cl)Cl~O
Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=[Ru-](Cl)(Cl)(=Cc2ccccc2)[P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)c(C)c1,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=[Ru](Cl)(Cl)(=Cc2ccccc2)[P](C2CCCCC2)(C2CCCCC2)C2CCCCC2)c(C)c1
Cl[Ru-2](Cl)(=Cc1ccccc1)([P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1)[P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1,Cl[Ru](Cl)(=Cc1ccccc1)([P](C1CCCCC1)(C1CCCCC1)C1CCCCC1)[P](C1CCCCC1)(C1CCCCC1)C1CCCCC1
Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=[Ru-](Cl)(Cl)(=Cc2ccccc2)[P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)c(C)c1,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2[Ru](Cl)(Cl)(=Cc2ccccc2)[P](C2CCCCC2)(C2CCCCC2)C2CCCCC2)c(C)c1
Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=[Ru-](Cl)(Cl)(=Cc2ccccc2)[P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)c(C)c1,C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1~Cc1cc(C)c(N2[CH-]N(c3c(C)cc(C)cc3C)CC2)c(C)c1~Cl[Ru](Cl)=Cc1ccccc1
Cc1ccc(C(C)C)cc1~Cl[Ru]Cl,Cc1ccc(C(C)C)cc1~Cc1ccc(C(C)C)cc1~Cl[Ru]Cl~Cl[Ru]Cl
Cc1ccc(C(C)C)cc1~Cc1ccc(S(=O)(=O)N([Ru]Cl)[C@H](c2ccccc2)[C@H](N)c2ccccc2)cc1,Cc1ccc(C(C)C)cc1~Cc1ccc(S(=O)(=O)[N-][C@H](c2ccccc2)[C@H](N)c2ccccc2)cc1~Cl[Ru+]
Cc1ccc(C(C)C)cc1~Cc1ccc(S(=O)(=O)N([Ru]Cl)[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)cc1,Cc1ccc(C(C)C)cc1~Cc1ccc(S(=O)(=O)[N-][C@@H](c2ccccc2)[C@@H](N)c2ccccc2)cc1~Cl[Ru+]
Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=[Ru](Cl)(Cl)=Cc2cc(Cl)ccc2OC(C)C)c(C)c1,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2[Ru](Cl)(Cl)=Cc2cc(Cl)ccc2OC(C)C)c(C)c1
CC1=C(C)C(C)([Ru-2](Cl)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)C(C)=C1C,Cc1c(C)c(C)[c-](C)c1C~Cl[Ru+]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
CC1=C(C)C(C)([Ru-2](Cl)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)C(C)=C1C,C[C]1[C](C)[C](C)[C](C)[C]1C~Cl[Ru]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=[Ru](Cl)(Cl)=Cc2ccccc2OC(C)C)c(C)c1,CC(C)Oc1ccccc1C=[Ru](Cl)Cl
C1=CCCC=CCC1~CC1=C(C)C(C)([Ru]Cl)C(C)=C1C,C1=CCCC=CCC1~C[C]1[C](C)[C](C)[C](C)[C]1C~Cl[Ru]
Cl[Ru-2]1(Cl)[P+](C2CCCCC2)(C2CCCCC2)(C2CCCCC2)C(c2ccccc2)[P+]1(C1CCCCC1)(C1CCCCC1)C1CCCCC1,Cl[Ru]Cl~c1ccc(C([P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)[P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)cc1
Cl[Ru-3](Cl)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Ru](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1
Cl[Ru-2]1(Cl)[P+](C2CCCCC2)(C2CCCCC2)(C2CCCCC2)C(c2ccccc2)[P+]1(C1CCCCC1)(C1CCCCC1)C1CCCCC1,Cl[Ru]Cl~c1ccc(C([PH](C2CCCCC2)(C2CCCCC2)C2CCCCC2)[PH](C2CCCCC2)(C2CCCCC2)C2CCCCC2)cc1
Cl[Ru]Cl~c1ccccc1,Cl[Ru]Cl~Cl[Ru]Cl~c1ccccc1~c1ccccc1
Cl[Ru-2]1(Cl)[P+](c2ccccc2)(c2ccccc2)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P+]1(c1ccccc1)c1ccccc1,Cl[Ru]Cl~c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1
Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=[Ru-](Cl)(Cl)(=Cc2ccccc2)[P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)c(C)c1,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=C2CCC(Cl)(P(C3CCCCC3)C3CCCCC3)C(=Cc3ccccc3)C2Cl)c(C)c1~[Ru]
Cl[Ru](Cl)Cl,Cl[Ru](Cl)Cl~O
O=[Ru]=O,O~O=[Ru]=O
O=C=[Ru](=C=O)(=C=O)=C=O,[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[Ru]~[Ru]~[Ru]
Cl[Ru](Cl)Cl,Cl[Ru](Cl)Cl~O~O~O
O=[Ru]=O,O~O=[Ru]
O=S1(=O)O[Cu]O1,O=S(=O)([O-])[O-]~[Cu+2]
O=S1(=O)O[Cu]O1,O~O~O~O~O~O=S(=O)([O-])[O-]~[Cu+2]
O=S1(=O)O[Cu]O1,O~O~O~O~O~O=S1(=O)O[Cu]O1
O=S1(=O)O[Cu]O1,O~O=S(=O)([O-])[O-]~[Cu+2]
O=S1(=O)O[Cu]O1,O~O=S1(=O)O[Cu]O1
CC(=O)O[Cu]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~O~[Cu+2]
CC(=O)O[Cu],CC(=O)[O-]~[Cu+]
CC(=O)O[Cu]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~O~O~[Cu+2]
CC(=O)O[Cu]OC(C)=O,CC(=O)O[Cu]OC(C)=O~O
O=S(=O)(O[Cu])C(F)(F)F.c1ccccc1,O=S(=O)(O)C(F)(F)F~O=S(=O)(O)C(F)(F)F~[Cu]~[Cu]~c1ccccc1
O=[N+]([O-])O[Cu]O[N+](=O)[O-],O~O~O~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~[Cu+2]
O=[N+]([O-])O[Cu]O[N+](=O)[O-],O~O~O~O~O~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~[Cu+2]~[Cu+2]
Br[Cu-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,[Cu]Br~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
[CuH-][P+](c1ccccc1)(c1ccccc1)c1ccccc1,[Cu]~[Cu]~[Cu]~[Cu]~[Cu]~[Cu]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
F[P-](F)(F)(F)(F)F~CC#[N+][Cu-3]([N+]#CC)([N+]#CC)[N+]#CC,CC#N~CC#N~CC#N~CC#N~F[P-](F)(F)(F)(F)F~[Cu+]
O=C1O[Cu]O1,O=C([O-])[O-]~[Cu+2]
[Cu+2]~c1ccc2c(c1)-c1nc-2nc2[n-]c(nc3nc(nc4[n-]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,[Cu]~c1ccc2c(c1)C1=NC2=NC2=NC(=NC3=NC(=NC4=NC(=N1)c1ccccc14)c1ccccc13)c1ccccc12
[Li][Cu](C#N)c1cccs1,[C-]#N~[Cu+]~[Li+]~[c-]1cccs1
[Li][Cu](CCC(C)C)CCC(C)C,CC(C)CC[Cu]CCC(C)C~[Li]
Cl[Cu]Cl,Cl[Cu]Cl~O~O
Cl[Cu]Cl~[Li]Cl~[Li]Cl,Cl[Cu-2](Cl)(Cl)Cl~[Li+]~[Li+]
CSC.[Cu]Br,CSC~[Cu]Br
N#C[Cu].[Li]Cl.[Li]Cl,Cl[Cu-]Cl~[C-]#N~[Li+]~[Li+]
[Li][Cu](C)C,C[Cu]C~[Li]
[Li][Cu](C)C,C[Cu-]C~[Li+]
[Cu]I,[Cu+]~[I+]
O[Cu]O,[Cu+2]~[OH-]~[OH-]
Cl[Cu]Cl,Cl[Cu]Cl~O
Cl[Ta](Cl)(Cl)(Cl)Cl,[Cl-]~[Cl-]~[Cl-]~[Cl-]~[Cl-]~[Ta+5]
CC(=O)O[Co]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~O~O~O~O~[Co+2]
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[Co-2]13Oc4c(cc(C(C)(C)C)cc4C(C)(C)C)C=[N+]1[C@H]1CCCC[C@@H]1[N+]3=C2,CC(C)(C)C1=C/C(=C/N[C@H]2CCCC[C@@H]2N/C=C2/C=C(C(C)(C)C)C=C(C(C)(C)C)C2=O)C(=O)C(C(C)(C)C)=C1~[Co]
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[Co-2]13Oc4c(cc(C(C)(C)C)cc4C(C)(C)C)C=[N+]1[C@@H]1CCCC[C@H]1[N+]3=C2,CC(C)(C)c1cc(C=N[C@@H]2CCCC[C@H]2N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2[O-])c([O-])c(C(C)(C)C)c1~[Co+2]
O=C=[Co](=C=O)C1C=CC=C1,[C-]#[O+]~[C-]#[O+]~[Co]~c1cc[cH-]c1
C1=N/CC/N=C/c2ccccc2O[Co]Oc2ccccc2/1,[Co+2]~[O-]c1ccccc1C=NCCN=Cc1ccccc1[O-]
O=S1(=O)O[Co]O1,O=S(=O)([O-])[O-]~[Co+2]
O=[N+]([O-])O[Co]O[N+](=O)[O-],O~O~O~O~O~O~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~[Co+2]
Cl[Co]Cl,Cl[Co]Cl~O~O~O~O~O~O
O=C=[Co](=C=O)(=C=O)=C=O,[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[CH-]=O~[CH-]=O~[Co+2]~[Co]
C1=CCCC=CCC1~Cl[Rh],C1=CCCC=CCC1~C1=CCCC=CCC1~[Cl-]~[Cl-]~[Rh]~[Rh]
C1=CCCC=CCC1~C1=CCCC=CCC1~F[B-](F)(F)F~[Rh+],C1=CCCC=CCC1~C1=CCCC=CCC1~F[B-](F)(F)F~[Rh]
C1=CCCC=CCC1~C1=CCCC=CCC1~O=S(=O)(O[Rh])C(F)(F)F,C1=CCCC=CCC1~C1=CCCC=CCC1~O=S(=O)([O-])C(F)(F)F~[Rh]
C1=CCCC=CCC1~CC#[N+][Rh-][N+]#CC~F[B-](F)(F)F,C1=CCCC=CCC1~CC#N~CC#N~F[B-](F)(F)F~[Rh]
C1=CCCC=CCC1~C1=CCCC=CCC1~F[P-](F)(F)(F)(F)F~[Rh+],C1=CCCC=CCC1~C1=CCCC=CCC1~F[P-](F)(F)(F)(F)F~[Rh]
C1=CCCC=CCC1~C1=CCCC=CCC1~F[B-](F)(F)F~[Rh+],C1=CCCCCC([Rh+]C2=CC=CCCCC2)=C1~F[B-](F)(F)F
C1=CCCC=CCC1~CC[C@@H]1CC[C@@H](CC)[P+]12[Rh-][P+]1(c3ccccc32)[C@H](CC)CC[C@H]1CC~F[B-](F)(F)F,CC[C@@H]1CC[C@@H](CC)P1c1ccccc1P1[C@H](CC)CC[C@H]1CC~F[B-](F)(F)F~[CH]1[CH]CC[CH][CH]CC1~[Rh]
CC(=O)O[Rh]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~[Rh+2]~[Rh+2]
CC(=O)O[Rh]OC(C)=O,CC(=O)O~CC(=O)O~CC(=O)O~CC(=O)O~[Rh]~[Rh]
CC(=O)O[Rh]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~[Rh+3]~[Rh+3]
CC(=O)O[Rh]OC(C)=O,CC(=O)[O-]~[Rh+]
C1=CC2C=CC1C2~C1=CC2C=CC1C2~F[B-](F)(F)F~[Rh+],C1=CC2C=CC1C2~C1=CC2C=CC1C2~F[B-](F)(F)F~[Rh]
C=C~C=C~CC(=O)/C=C(/C)O[Rh],C=C~C=C~CC(=O)/C=C(/C)O~[Rh]
CC(=O)/C=C(/C)O[Rh](=C=O)=C=O,CC(=O)/C=C(/C)O~[C-]#[O+]~[C-]#[O+]~[Rh]
CC(=O)/C=C(/C)O[Rh](=C=O)=C=O,CC(=O)/C=C(\C)O~[C-]#[O+]~[C-]#[O+]~[Rh]
Cl[Rh-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,[Cl-]~[Rh]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
O=C=[RhH-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,[C-]#[O+]~[Rh]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
Cl[Rh-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Rh](Cl)Cl~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
CC1(C)Cc2cccc(c2)CC(C)(C)C(=O)O[Rh]OC1=O,CC(C)(Cc1cccc(CC(C)(C)C(=O)[O-])c1)C(=O)[O-]~CC(C)(Cc1cccc(CC(C)(C)C(=O)[O-])c1)C(=O)[O-]~[Rh+2]~[Rh+2]
CC1(C)Cc2cccc(c2)CC(C)(C)C(=O)O[Rh]OC1=O,CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O~CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O~[Rh]~[Rh]
CCCCCCCC(=O)O[Rh]OC(=O)CCCCCCC,CCCCCCCC(=O)O~CCCCCCCC(=O)O~CCCCCCCC(=O)O~CCCCCCCC(=O)O~[Rh]~[Rh]
CC(=O)O[Rh]OC(C)=O,CC1O[Rh-3]234([OH2+])#[Rh-3]([OH2+])(OC(C)[O+]2)(OC(C)[O+]3)([O+]1)[O+]C(C)O4
Cl[Rh-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Rh]([P](c1ccccc1)(c1ccccc1)c1ccccc1)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1
CC(C)[P+]1(C(C)C)N2CCN3CCN4CCN5C4C(C32)[Rh-2]1(Cl)[P+]5(C(C)C)C(C)C,CC(C)[P]1(C(C)C)N2CCN3CCN4CCN5C4C(C32)[Rh]1(Cl)[P]5(C(C)C)C(C)C
O=C1CCCCCN1[Rh]N1CCCCCC1=O,O=C1CCCCCN1~O=C1CCCCCN1~O=C1CCCCCN1~O=C1CCCCCN1~[Rh]~[Rh]
Cl[Rh-2]12C3C4N(CCN5CCN(C35)[P+]1(c1ccccc1)c1ccccc1)CCN4[P+]2(c1ccccc1)c1ccccc1,Cl[Rh]12C3C4N(CCN5CCN(C35)[P]1(c1ccccc1)c1ccccc1)CCN4[P]2(c1ccccc1)c1ccccc1
C1=CCCC=CCC1~Cl[Rh],ClC1=CC=CCCCC1~[Rh+]
CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O[Rh]OC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(CCCCCCCCCCCC)cc2)cc1,CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1~CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1~CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1~CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1~[Rh]~[Rh]
CC1=C(C)C(C)([Rh](Cl)Cl)C(C)=C1C,C[C]1[C](C)[C](C)[C](C)[C]1C~C[C]1[C](C)[C](C)[C](C)[C]1C~Cl[Rh]Cl~Cl[Rh]Cl
C=C~C=C~Cl[Rh],C=C~C=C~C=C~C=C~[Cl-]~[Cl-]~[Rh]~[Rh]
O=C=[Rh]1(=C=O)[Rh](=C=O)(=C=O)(=C=O)[Rh]1(=C=O)(=C=O)=C=O,[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[Rh]~[Rh]~[Rh]~[Rh]~[Rh]~[Rh]
Cl[Rh](Cl)Cl,Cl[Rh](Cl)Cl~O~O~O
O=C=[Rh](=C=O)=C=O,[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[Rh]~[Rh]~[Rh]~[Rh]
[C]~[Rh],C~[Rh]
Cl[Rh](Cl)Cl,Cl[Rh](Cl)Cl~O
CC(C)C[AlH]CC(C)C.Cc1ccccc1,CC(C)C[AlH]CC(C)C~Cc1ccccc1
CC(C)C[AlH]CC(C)C.CCCCCC,CC(C)C[AlH]CC(C)C~CCCCCC
C1CCOC1.CC(C)C[AlH]CC(C)C,C1CCOC1~CC(C)C[AlH]CC(C)C
CC(C)C[AlH]CC(C)C,CC(C)C[AlH]CC(C)C~CC(C)C[AlH]CC(C)C
CC(C)C[AlH2-]CC(C)C~[Li+],CC(C)C[AlH]CC(C)C~[Li]
CC(C)(C)O[AlH-](OC(C)(C)C)OC(C)(C)C~[Li+],CC(C)(C)O[Al-](OC(C)(C)C)OC(C)(C)C~[Li+]
COCCO[AlH2-]OCCOC~[Na+].Cc1ccccc1,COCCO[AlH]OCCOC~Cc1ccccc1~[Na]
C[Al](C)C.Cc1ccccc1,C[Al](C)C~Cc1ccccc1
C1CCOC1.[AlH4-]~[Li+],C1CCOC1~[AlH4-]~[Li+]
CCCCCC.C[Al](C)C,CCCCCC~C[Al](C)C
O=[Si]=O~O=[Si]=O~O=[Si]=O~O=[Al]O[Al]=O~O=[Al]O[Al]=O,[Al+3]~[Al+3]~[Al+3]~[Al+3]~[O-][Si]([O-])([O-])[O-]~[O-][Si]([O-])([O-])[O-]~[O-][Si]([O-])([O-])[O-]
O=S1(=O)O[Al](OS(=O)(=O)O[Al]2OS(=O)(=O)O2)O1,O=S(=O)([O-])[O-]~O=S(=O)([O-])[O-]~O=S(=O)([O-])[O-]~[Al+3]~[Al+3]
