src,tgt
C[Al](C)NCC(F)(F)F,C[Al+]C~[NH-]CC(F)(F)F
[AlH3],[Al+3]~[H-]~[H-]~[H-]
[F-]~[K+]~O=[Al]O[Al]=O,O=[Al]O[Al]=O~[F-]~[K+]
[AlH4-]~[Li+],[Al+3]~[Al+3]~[H-]~[H-]~[H-]~[H-]~[H-]~[H-]~[H-]~[H-]~[Li+]~[Li+]
[AlH4-]~[Li+],[AlH4-]~[AlH4-]~[Li+]~[Li+]
Cl[Al](Cl)Cl,Cl[Al](Cl)Cl~Cl[Al](Cl)Cl
O[Al-](O)(O)O~[Li+],[Al+3]~[Li+]~[OH-]~[OH-]~[OH-]~[OH-]
Cl[Al](Cl)Cl,Cl[Al](Cl)Cl~O~O~O~O~O~O
O=[Al]O[Al]=O,O=[Al](=O)=O
[AlH4-]~[Li+],[AlH4-]~[AlH4-]~[AlH4-]~[Li+]~[Li+]~[Li+]
O=[Cr]1O[Cu]O1,O=[Cr]([O-])[O-]~[Cu+2]
CC(C)(C)O.O=[Os](=O)(=O)=O,CC(C)(C)O~O=[Os](=O)(=O)=O
O=[Os](=O)(O[K])O[K],O~O~O=[Os-2](=O)(O)(O)(O)O~[K+]~[K+]
O=[Os](=O)(O[K])O[K],O=[Os-2](=O)(O)(O)(O)O~[K+]~[K+]
O=[Os](=O)(O[K])O[K],O~O~O=[Os](=O)([O-])[O-]~[K+]~[K+]
O=[Os](=O)(=O)=O,O~O=[Os](=O)(=O)=O
CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](Oc1nnc(O[C@H](c2ccnc3ccc(OC)cc23)[C@@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12~N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N~O=C(O[K])O[K]~O=[Os](=O)(O[K])O[K]~[K+]~[K+]~[K+],CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](Oc1nnc(O[C@H](c2ccnc3ccc(OC)cc23)[C@@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12~N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N~O=C([O-])[O-]~O=[Os-2](=O)(O)(O)(O)O~[K+]~[K+]~[K+]~[K+]~[K+]~[K+]~[K+]
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](Oc1nnc(O[C@@H](c2ccnc3ccc(OC)cc23)[C@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12~N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N~O=C(O[K])O[K]~O=[Os](=O)(O[K])O[K]~[K+]~[K+]~[K+],CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](Oc1nnc(O[C@@H](c2ccnc3ccc(OC)cc23)[C@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12~N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N~O=C([O-])[O-]~O=[Os-2](=O)(O)(O)(O)O~[K+]~[K+]~[K+]~[K+]~[K+]~[K+]~[K+]
CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](Oc1nnc(O[C@H](c2ccnc3ccc(OC)cc23)[C@@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12~N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N~O=C(O[K])O[K]~O=[Os](=O)(O[K])O[K]~[K+]~[K+]~[K+],CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](Oc1nnc(O[C@H](c2ccnc3ccc(OC)cc23)[C@H]2C[C@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12~N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N~O=C([O-])[O-]~O=[Os-2](=O)(O)(O)(O)O~[K+]~[K+]~[K+]~[K+]~[K+]~[K+]~[K+]
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](Oc1nnc(O[C@@H](c2ccnc3ccc(OC)cc23)[C@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12~N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N~O=C(O[K])O[K]~O=[Os](=O)(O[K])O[K]~[K+]~[K+]~[K+],CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](Oc1nnc(O[C@@H](c2ccnc3ccc(OC)cc23)[C@H]2C[C@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12~N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N~O=C([O-])[O-]~O=[Os-2](=O)(O)(O)(O)O~[K+]~[K+]~[K+]~[K+]~[K+]~[K+]~[K+]
O=[Mo](=O)([O-])O~[NH4+],N~N~N~N~N~N~O~O~O~O~O=[Mo](=O)(O)O~O=[Mo](=O)(O)O~O=[Mo](=O)(O)O~O=[Mo](=O)=O~O=[Mo](=O)=O~O=[Mo](=O)=O~O=[Mo](=O)=O
O=[Mo]1(=O)O[Ce](O[Mo](=O)(=O)O[Ce]2O[Mo](=O)(=O)O2)O1,O=[Mo](=O)([O-])[O-]~O=[Mo](=O)([O-])[O-]~O=[Mo](=O)([O-])[O-]~[Ce+3]~[Ce+3]
O=C=[Mo](=C=O)(=C=O)(=C=O)(=C=O)=C=O,[C]=O~[Mo]
O=[Mo](=O)(O[Na])O[Na],O=[Mo](=O)([O-])[O-]~[Na+]~[Na+]
CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C,CC(C)[O-]~CC(C)[O-]~CC(C)[O-]~CC(C)[O-]~CC(C)[O-]~CC(C)[O-]~[Ti+6]
CCCCO[Ti](OCCCC)(OCCCC)OCCCC,CCCC[O-]~CCCC[O-]~CCCC[O-]~CCCC[O-]~[Ti+4]
CCCCO[Ti](OCCCC)(OCCCC)OCCCC,CCCCO~CCCCO~CCCCO~CCCCO~[Ti]
CC(C)(C)O[Ti](OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C,CC(C)(C)[O-]~CC(C)(C)[O-]~CC(C)(C)[O-]~CC(C)(C)[O-]~[Ti+4]
CO[Ti](OC)(OC)C1(C)C(C)=C(C)C(C)=C1C,CC1=C(C)C(C)([Ti+3])C(C)=C1C~C[O-]~C[O-]~C[O-]
CCO[Ti](OCC)(OCC)OCC,CC[O-]~CC[O-]~CC[O-]~CC[O-]~[Ti+4]
ClCCl.Cl[Ti](Cl)(Cl)Cl,ClCCl~Cl[Ti](Cl)(Cl)Cl
[Pd]~[Pb]~O=C1O[Ca]O1,CC(=O)[O-]~CC(=O)[O-]~[Pb+2]~[Pd]
O=S1(=O)O[Mn]O1,O=S(=O)([O-])[O-]~[Mn+2]
O=S1(=O)O[Mn]O1,O~O~O~O~O=S1(=O)O[Mn]O1
O=S1(=O)O[Mn]O1,O~O~O~O~O~O~O~O=S1(=O)O[Mn]O1
O=S1(=O)O[Mn]O1,O~O~O~O~O~O=S(=O)([O-])[O-]~[Mn+2]
CC(=O)O[Mn]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~O~O~O~O~[Mn+2]
CC(=O)O[Mn](OC(C)=O)OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~O~O~[Mn+3]
CC(C)(C)C(=O)/C=C(\O[Mn](O/C(=C\C(=O)C(C)(C)C)C(C)(C)C)O/C(=C\C(=O)C(C)(C)C)C(C)(C)C)C(C)(C)C,CC(C)(C)C(=O)/C=C(\O)C(C)(C)C~CC(C)(C)C(=O)/C=C(\O)C(C)(C)C~CC(C)(C)C(=O)/C=C(\O)C(C)(C)C~[Mn]
O=[Mn](=O)(=O)O[K],O=[Mn](=O)(=O)[O-]~[K+]
O=[Mn](=O)(=O)O[Na],O=[Mn](=O)(=O)[O-]~[Na+]
O=[Mn]1(=O)O[Ba]O1,O=[Mn](=O)([O-])[O-]~[Ba+2]
O=[Mn]=O,O=[Mn]=O~O=[Mn]=O
Cl[Mn]Cl,Cl[Mn]Cl~O~O~O~O
O=[Mn](=O)(=O)O[Na],O~O=[Mn](=O)(=O)[O-]~[Na+]
CC(=O)O[Hg]OC(C)=O,CC(=O)[O-]~[Hg+]
O=S1(=O)O[Hg]O1,O=S(=O)([O-])[O-]~[Hg+2]
O=S1(=O)O[Hg][Hg]O1,O=S(=O)([O-])[O-]~[Hg+]~[Hg+]
[Na][Hg],[Hg]~[Na]
CC[Hg]Sc1ccccc1C(=O)O[Na],CC[Hg]Sc1ccccc1C(=O)[O-]~[Na+]
O=S1(=O)O[Fe]O1,O~O~O~O~O~O~O~O=S(=O)([O-])[O-]~[Fe+2]
O=S1(=O)O[Fe]O1,O=S(=O)([O-])[O-]~[Fe+2]
O=S1(=O)O[Fe]O1,O~O~O~O~O~O~O~O=S1(=O)O[Fe]O1
O=S1(=O)O[Fe](OS(=O)(=O)O[Fe]2OS(=O)(=O)O2)O1,O=S(=O)([O-])[O-]~O=S(=O)([O-])[O-]~O=S(=O)([O-])[O-]~[Fe+3]~[Fe+3]
O=[N+]([O-])O[Fe](O[N+](=O)[O-])O[N+](=O)[O-],O~O~O~O~O~O~O~O~O~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~O=[N+]([O-])[O-]~[Fe+3]
O=C1CC2(O)CC(=O)O[Fe](O1)OC2=O,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]~[Fe+3]
[O-][Cl+3]([O-])([O-])O[Fe](O[Cl+3]([O-])([O-])[O-])O[Cl+3]([O-])([O-])[O-],[Fe+3]~[O-][Cl+3]([O-])([O-])[O-]~[O-][Cl+3]([O-])([O-])[O-]~[O-][Cl+3]([O-])([O-])[O-]
Cl[Fe](Cl)Cl,Cl[Fe](Cl)Cl~O~O~O~O~O~O
Cl[Fe](Cl)Cl,O~O~O~O~O~O~[Cl-]~[Cl-]~[Cl-]~[Fe+3]
N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N~[K+]~[K+]~[K+]~[K+],O~O~O~[C-]#N~[C-]#N~[C-]#N~[C-]#N~[C-]#N~[C-]#N~[Fe+2]~[K+]~[K+]~[K+]~[K+]
N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N~[K+]~[K+]~[K+]~[K+],N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N~O~O~O~[K+]~[K+]~[K+]~[K+]
Cl[Fe]Cl,Cl[Fe]Cl~O~O~O~O
F[Fe](F)F,F[Fe](F)F~O~O~O
Cl[Fe]Cl,Cl[Fe]Cl~O~O~O~O~O~O
C[Al-]1(C)C[Ti](C2C=CC=C2)(C2C=CC=C2)[Cl+]1,C[Al+]C~[CH3-]~[Cl-]~[Ti+3]~c1cc[cH-]c1~c1cc[cH-]c1
C[Al-]1(C)C[Ti](C2C=CC=C2)(C2C=CC=C2)[Cl+]1,C[Al]C~[CH3-]~[Cl-]~[Ti+4]~c1cc[cH-]c1~c1cc[cH-]c1
CC(=O)/C=C(/C)O[Ni]O/C(C)=C\C(C)=O,CC(=O)C=C(C)[O-]~CC(=O)C=C(C)[O-]~[Ni+2]
CC(=O)/C=C(/C)O[Ni]O/C(C)=C\C(C)=O,CC(=O)C=C(C)[O-]~[Ni+2]
CC(=O)O[Ni]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~O~O~O~O~[Ni+2]
C[O+]1CC[O+](C)[Ni-2]1(Cl)Cl,COCCOC~Cl[Ni]Cl
C[O+]1CC[O+](C)[Ni-2]1(Br)Br,Br[Ni]Br~COCCOC
c1ccc([P]([Ni][P](c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1,[Ni]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
Cl[Ni-2](Cl)([P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1)[P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1~C1CCC(P(C2CCCCC2)C2CCCCC2)CC1~Cl[Ni]Cl
O=S1(=O)O[Ni]O1,O=S(=O)([O-])[O-]~[Ni+2]
Cl[Ni]Cl,Cl[Ni]Cl~O~O~O~O~O~O
[Ni][B][Ni],[B-]~[B-]~[Ni+2]
O1O[Ni]1,[Ni+2]~[O-][O-]
Cl[Ni]Cl,Cl[Ni]Cl~O
N#C[Ni-2](C#N)(C#N)C#N~[K+]~[K+],[C-]#N~[C-]#N~[C-]#N~[C-]#N~[K+]~[K+]~[Ni+2]
O=P(O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(=O)O2)O1)(O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(=O)O2)O1)O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(=O)O2)O1,O~O=P(O)(O)O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O
O=P(O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(O)O2)O1)(O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(O)O2)O1)O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(O)O2)O1,O=P(O)(O)O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O~O=[W](=O)=O
O=[W](=O)(O[Na])O[Na],O~O~O=[W](=O)([O-])[O-]~[Na+]~[Na+]
O=[W](=O)(O[Na])O[Na],O=[W](=O)([O-])[O-]~[Na+]~[Na+]
O=P(O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(O)O2)O1)(O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(O)O2)O1)O[W]1(=O)(=O)O[W]2(=O)(O[W](=O)(O)O2)O1,O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~P~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]
O=[W](=O)(O[Na])O[Na],O~O=[W](=O)([O-])[O-]~[Na+]~[Na+]
[Ag]O[Ag],O=[Ag-]
CC1=C(C)C(C)([Ir](Cl)N(C(=O)c2ccccn2)c2ccc(N(C)C)cc2)C(C)=C1C,CN(C)c1ccc([N-]C(=O)c2ccccn2)cc1~Cc1c(C)c(C)[c-](C)c1C~Cl[Ir+2]
C1=CCCC=CCC1~[Ir]Cl,ClC1=CCCC=CCC1~[Ir+]
C1=CCCCCCC1~C1=CCCCCCC1~Cl[Ir],C1=CCCCCCC1~C1=CCCCCCC1~C1=CCCCCCC1~C1=CCCCCCC1~[Cl-]~[Cl-]~[Ir]~[Ir]
CC(=O)O[Bi](OC(C)=O)(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1,CC(=O)O~CC(=O)O~Cc1ccc([Bi](c2ccc(C)cc2)c2ccc(C)cc2)cc1
O=C1O[Bi](c2ccccc2)(c2ccccc2)(c2ccccc2)O1,O=C(O)O~c1ccc([Bi](c2ccccc2)c2ccccc2)cc1
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl.ClCCl,ClCCl~Cl[Pd]Cl~[Fe+2]~c1ccc(P(c2ccccc2)[c-]2cccc2)cc1~c1ccc(P(c2ccccc2)[c-]2cccc2)cc1
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl.ClCCl,ClCCl~Clc1cc[c-](P(c2ccccc2)c2ccccc2)c1Cl~[Fe+2]~[Pd+2]~c1ccc(P(c2ccccc2)[c-]2cccc2)cc1
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl,[Cl-]~[Cl-]~[Fe+2]~[Pd+2]~c1cc[cH-]c1~c1ccc(P(c2ccccc2)[c-]2cccc2)cc1
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl.ClCCl,ClCCl~Clc1cc[c-](P(c2ccccc2)c2ccccc2)c1Cl~[Cl-]~[Cl-]~[Fe+2]~[Pd+2]~c1ccc(P(c2ccccc2)[c-]2cccc2)cc1
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl.ClCCl,ClCCl~Cl[Pd]Cl~[CH]1[CH][CH][C]([PH+](c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C]([PH+](c2ccccc2)c2ccccc2)[CH]1~[Fe]
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl.ClCCl,ClCCl~Cl[Pd]Cl~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[Fe]~[Fe]
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl.ClC(Cl)Cl,ClC(Cl)Cl~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[Fe]~[Fe]~[Pd]
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl.ClCCl,ClCCl~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1~[Fe]~[Fe]~[Pd]
CC(C)(C)P(C(C)(C)C)C1([Fe]C2(P(C(C)(C)C)C(C)(C)C)C=CC=C2)C=CC=C1~Cl[Pd]Cl,CC(C)(C)P([c-]1cccc1)C(C)(C)C~CC(C)(C)P([c-]1cccc1)C(C)(C)C~Cl[Pd]Cl~[Fe+2]
CC(C)(C)P(C(C)(C)C)C1([Fe]C2(P(C(C)(C)C)C(C)(C)C)C=CC=C2)C=CC=C1~Cl[Pd]Cl,CC(C)(C)P(c1ccc[cH-]1)C(C)(C)C~CC(C)(C)P(c1ccc[cH-]1)C(C)(C)C~[Cl-]~[Cl-]~[Fe+2]~[Pd+2]
CC(C)(C)P(C(C)(C)C)C1([Fe]C2(P(C(C)(C)C)C(C)(C)C)C=CC=C2)C=CC=C1~Cl[Pd]Cl,CC(C)(C)P([c-]1ccc(Cl)c1Cl)C(C)(C)C~CC(C)(C)P([c-]1cccc1)C(C)(C)C~[Fe+2]~[Pd+2]
CC(C)(C)P(C(C)(C)C)C1([Fe]C2(P(C(C)(C)C)C(C)(C)C)C=CC=C2)C=CC=C1~Cl[Pd]Cl,CC(C)(C)P(c1ccc[cH-]1)C(C)(C)C~CC(C)(C)P(c1ccc[cH-]1)C(C)(C)C~Cl[Pd]Cl~[Fe+2]
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl,Cl[Pd]Cl~[Fe]~c1ccc(P(c2ccccc2)C2CCCC2)cc1~c1ccc(P(c2ccccc2)C2CCCC2)cc1
C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1~Cl[Pd]Cl.ClCCl,ClCCl~Cl[Pd]Cl~[Fe]~c1ccc(P(c2ccccc2)C2CCCC2)cc1~c1ccc(P(c2ccccc2)C2CCCC2)cc1
CC(C)(C)P(C(C)(C)C)C1([Fe]C2(P(C(C)(C)C)C(C)(C)C)C=CC=C2)C=CC=C1~Cl[Pd]Cl,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C~CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C~Cl[Pd]Cl~[Fe]
CC(C)(C)P(C(C)(C)C)C1([Fe]C2(P(C(C)(C)C)C(C)(C)C)C=CC=C2)C=CC=C1~Cl[Pd]Cl,CC(C)(C)[P](c1cc[cH-]c1)(C(C)(C)C)[Pd](Cl)(Cl)[P](c1cc[cH-]c1)(C(C)(C)C)C(C)(C)C~[Fe+2]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~[Pd]~[Pd]
ClC(Cl)Cl.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],ClC(Cl)Cl~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd],O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~[Pd]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~[Pd]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],O=C(C=Cc1ccccc1)C=Cc1ccccc1~[Pd]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~[Pd]~[Pd]
ClC(Cl)Cl.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],ClC(Cl)Cl~O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~[Pd]~[Pd]
ClC(Cl)Cl.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd],ClC(Cl)Cl~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~O=C(C=Cc1ccccc1)C=Cc1ccccc1~[Pd+2]
