src,tgt
ClC(Cl)Cl.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],ClC(Cl)Cl~O=C(/C=C\c1ccccc1)/C=C/c1ccccc1~O=C(/C=C\c1ccccc1)/C=C\c1ccccc1~O=C(/C=C\c1ccccc1)/C=C\c1ccccc1~[Pd]~[Pd]
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],O=C1C(=Cc2ccccc2)[Pd]2C(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)[Pd](C1=Cc1ccccc1)C(=Cc1ccccc1)C(=O)C2=Cc1ccccc1
CC(=O)O[Pd]Cc1ccccc1P(c1ccccc1C)c1ccccc1C,CC(=O)O~CC(=O)O~[CH2-]c1ccccc1P(c1ccccc1C)c1ccccc1C~[CH2-]c1ccccc1P(c1ccccc1C)c1ccccc1C~[Pd]~[Pd]
CC(=O)O[Pd]c1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C,CC(=O)O~CC(C)(C)P(c1ccccc1-c1[c-]cccc1)C(C)(C)C~[Pd]
CC(=O)O[Pd-2](OC(C)=O)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,CC(=O)O[Pd](OC(C)=O)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1
CC(=O)O[Pd-2](OC(C)=O)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,CC(=O)[O-]~CC(=O)[O-]~[Pd+2]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
CC(=O)O[Pd]OC(C)=O,CC(=O)[O-]~[Pd+]
CC(=O)O[Pd]OC(C)=O,CC(=O)O~[Pd]
CC(C)c1cc(C(C)C)c(-c2cccc([P+](C3CCCCC3)(C3CCCCC3)[Pd-](Cl)c3ccccc3-c3ccccc3N)c2)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2cccc(P(C3CCCCC3)C3CCCCC3)c2)c(C(C)C)c1~Cl[Pd+]~Nc1ccccc1-c1[c-]cccc1
CC(C)c1cc(C(C)C)c(-c2cccc([P+](C3CCCCC3)(C3CCCCC3)[Pd-](Cl)c3ccccc3-c3ccccc3N)c2)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2cccc(P(C3CCCCC3)C3CCCCC3)c2)c(C(C)C)c1~CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1~Cl[Pd+]~Cl[Pd+]~Nc1ccccc1-c1[c-]cccc1~Nc1ccccc1-c1[c-]cccc1
CC(C)c1cc(C(C)C)c(-c2cccc([P+](C3CCCCC3)(C3CCCCC3)[Pd-](OS(C)(=O)=O)c3ccccc3-c3ccccc3N)c2)c(C(C)C)c1,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~CS(=O)(=O)O~Nc1ccccc1-c1[c-]cccc1~[Pd]
CC(C)c1cc(C(C)C)c(-c2cccc([P+](C3CCCCC3)(C3CCCCC3)[Pd-](OS(C)(=O)=O)c3ccccc3-c3ccccc3N)c2)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1~CS(=O)(=O)[O-]~Nc1ccccc1-c1[c-]cccc1~[Pd+2]
COc1cccc(OC)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-](Cl)c1ccccc1-c1ccccc1N,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~Cl[Pd+]~Nc1ccccc1-c1[c-]cccc1
CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-](Cl)c1ccccc1-c1ccccc1N,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~Cl[Pd+]~Nc1ccccc1-c1[c-]cccc1
COc1ccc(OC)c([P+]([Pd-](OS(C)(=O)=O)c2ccccc2-c2ccccc2N)(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C~CS(=O)(=O)O~Nc1ccccc1-c1[c-]cccc1~[Pd]
COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-](OS(C)(=O)=O)c2ccccc2-c2ccccc2N)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C~CS(=O)(=O)O~Nc1ccccc1-c1[c-]cccc1~[Pd]
COc1ccc(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1[P+]([Pd-](OS(C)(=O)=O)c1ccccc1-c1ccccc1N)(C(C)(C)C)C(C)(C)C,COc1ccc(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C(C)(C)C)C(C)(C)C~CS(=O)(=O)O~Nc1ccccc1-c1[c-]cccc1~[Pd]
CC1(C)c2cccc3c2Oc2c1cccc2[P+](c1ccccc1)(c1ccccc1)[Pd-2](OS(C)(=O)=O)(c1ccccc1-c1ccccc1N)[P+]3(c1ccccc1)c1ccccc1,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21~CS(=O)(=O)O~Nc1ccccc1-c1[c-]cccc1~[Pd]
CC(C)c1cc(C(C)C)c(-c2ccccc2[P+]([Pd-](OS(C)(=O)=O)c2ccccc2-c2ccccc2N)(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1~CS(=O)(=O)O~Nc1ccccc1-c1[c-]cccc1~[Pd]
CC(C)(C)[P+]([Pd-](Cl)c1ccccc1-c1ccccc1N)(C(C)(C)C)C(C)(C)C,CC(C)(C)P(C(C)(C)C)C(C)(C)C~Nc1ccccc1-c1[c-]cccc1~[Cl-]~[Pd+2]
CCCC[P+]([Pd-](Cl)c1ccccc1-c1ccccc1N)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2~Cl[Pd+]~Nc1ccccc1-c1[c-]cccc1
COc1cccc(OC)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-](OS(C)(=O)=O)c1ccccc1-c1ccccc1N,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~CS(=O)(=O)O~ClCCl~Nc1ccccc1-c1[c-]cccc1~[Pd]
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pd-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
Cl[Pd-2](Cl)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1
Cl[Pd-2](Cl)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,c1ccc([P]([Pd][P](c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pd-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,[Pd]~c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pd-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pd-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,[Pd]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pd-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,c1ccc(-c2cccc(-c3ccccc3)c2)cc1~c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pd-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,N#N~c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
Cl[Pd-2](Cl)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1~[Pd]
Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,[Pd]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
Cl[Pd-2](Cc1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Pd+]~[CH2-]c1ccccc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pd-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,[Pd]~[Pd]~[Pd]~[Pd]~c1ccc(P(c2ccccc2)c2ccccc2)cc1
CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-](Cl)c2ccccc2CCN)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1~Cl[Pd+]~NCCc1[c-]cccc1
CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-](Cl)c2ccccc2-c2ccccc2N)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1~Nc1ccccc1-c1ccccc1[Pd]Cl
CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-](OS(C)(=O)=O)c2ccccc2-c2ccccc2N)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1~[Pd]
COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-](Cl)c2ccccc2CCN)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C~Cl[Pd+]~NCCc1[c-]cccc1
CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-](Cl)c1ccccc1CCN.COC(C)(C)C,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~COC(C)(C)C~Cl[Pd+]~NCCc1[c-]cccc1
COC(C)(C)C.COc1cccc(OC)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-](Cl)c1ccccc1CCN,COC(C)(C)C~COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~Cl[Pd+]~NCCc1[c-]cccc1
CC(C)c1cc(C(C)C)c(-c2ccccc2[P+]([Pd-](Cl)c2ccccc2CCN)(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1~Cl[Pd+]~NCCc1[c-]cccc1
COc1cccc(OC)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-](Cl)c1ccccc1CCN.ClCCl,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~ClCCl~NCCc1c[c-]ccc1~[Cl-]~[Pd+2]
CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-](Cl)c1ccccc1CCN.COC(C)(C)C,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~COC(C)(C)C~NCCc1[c-]cccc1~[Cl-]~[Pd+2]
CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-](Cl)c1ccccc1-c1ccccc1N,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1~Nc1ccccc1-c1ccccc1[Pd]Cl
CN(C)c1ccc([P+](C(C)(C)C)(C(C)(C)C)[Pd-2](Cl)(Cl)[P+](c2ccc(N(C)C)cc2)(C(C)(C)C)C(C)(C)C)cc1,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1~CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1~Cl[Pd]Cl
CN(C)c1ccc([P+](C(C)(C)C)(C(C)(C)C)[Pd-2](Cl)(Cl)[P+](c2ccc(N(C)C)cc2)(C(C)(C)C)C(C)(C)C)cc1,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1~Cl[Pd]Cl
CN(C)c1ccc([P+](C(C)(C)C)(C(C)(C)C)[Pd-2](Cl)(Cl)[P+](c2ccc(N(C)C)cc2)(C(C)(C)C)C(C)(C)C)cc1,CN(C)c1ccc([P+](C(C)(C)C)(C(C)(C)C)[Pd](Cl)(Cl)[P+](c2ccc(N(C)C)cc2)(C(C)(C)C)C(C)(C)C)cc1
CN(C)c1ccc([P+](C(C)(C)C)(C(C)(C)C)[Pd-2](Cl)(Cl)[P+](c2ccc(N(C)C)cc2)(C(C)(C)C)C(C)(C)C)cc1,CN(C)c1ccc([PH+](C(C)(C)C)C(C)(C)C)cc1~CN(C)c1ccc([PH+](C(C)(C)C)C(C)(C)C)cc1~Cl[Pd]Cl
Cl[Pd-2](Cl)([P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1)[P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1~C1CCC(P(C2CCCCC2)C2CCCCC2)CC1~Cl[Pd]Cl
C1CCC([P+]([Pd-2][P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)(C2CCCCC2)C2CCCCC2)CC1,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1~C1CCC(P(C2CCCCC2)C2CCCCC2)CC1~[Pd]
Cl[Pd-2](Cl)([P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1)[P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1~Cl[Pd]Cl
c1ccc([P+](c2ccccc2)(c2ccccc2)[Pd-4]([P+](c2ccccc2)(c2ccccc2)c2ccccc2)([P+](c2ccccc2)(c2ccccc2)c2ccccc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
Cl[Pd-2](Cl)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Pd-2](Cl)([PH](c1ccccc1)(c1ccccc1)c1ccccc1)[PH](c1ccccc1)(c1ccccc1)c1ccccc1
Cl[Pd-2](Cl)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Pd](Cl)([PH](c1ccccc1)(c1ccccc1)c1ccccc1)[PH](c1ccccc1)(c1ccccc1)c1ccccc1
Cl[Pd-2](Cl)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Pd-]([PH](c1ccccc1)(c1ccccc1)c1ccccc1)[PH](c1ccccc1)(c1ccccc1)c1ccccc1
CC(C)(C)[P+]([Pd-2][P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C,CC(C)(C)P(C(C)(C)C)C(C)(C)C~[Pd]
CN(C)c1ccccc1-c1ccccc1[Pd-](Cl)[PH+](C1C[C@@H]2CC[C@H]1C2)C1C[C@H]2CC[C@@H]1C2,C1C[C@@H]2C[C@H]1CC2PC1C[C@@H]2CC[C@H]1C2~CN(C)c1ccccc1-c1ccccc1[Pd]Cl
CN(C)c1ccccc1-c1ccccc1[Pd-](Cl)[PH+](C1C[C@@H]2CC[C@H]1C2)C1C[C@H]2CC[C@@H]1C2,CN(C)c1ccccc1-c1ccccc1[Pd-](Cl)P(C1CC2CCC1C2)C1CC2CCC1C2
CC(C)(C)[P+](c1ccccc1)(C(C)(C)C)[Pd-2](Cl)(Cl)[P+](c1ccccc1)(C(C)(C)C)C(C)(C)C,CC(C)(C)P(c1ccccc1)C(C)(C)C~CC(C)(C)P(c1ccccc1)C(C)(C)C~Cl[Pd]Cl
CN(C)c1ccccc1-c1ccccc1[Pd-](Cl)[PH+](C1C[C@@H]2CC[C@H]1C2)C1C[C@H]2CC[C@@H]1C2,C1C[C@@H]2C[C@H]1CC2PC1C[C@@H]2CC[C@H]1C2~CN(C)c1ccccc1-c1[c-]cccc1~Cl[Pd+]
Cc1ccccc1[P+](c1ccccc1C)(c1ccccc1C)[Pd-2](Cl)(Cl)[P+](c1ccccc1C)(c1ccccc1C)c1ccccc1C,Cc1ccccc1P(c1ccccc1C)c1ccccc1C~Cc1ccccc1P(c1ccccc1C)c1ccccc1C~Cl[Pd]Cl
O=S1(=O)O[Ba]O1~[Pd],O=S(=O)([O-])[O-]~O=S(=O)([O-])[O-]~[Ba+2]~[Pd+2]
O=S1(=O)O[Ba]O1~[Pd],O=S(=O)([O-])[O-]~[Ba+2]~[Pd]
Cc1ccccc1[P+](c1ccccc1C)(c1ccccc1C)[Pd-2](Cl)(Cl)[P+](c1ccccc1C)(c1ccccc1C)c1ccccc1C,Cc1ccccc1[P](c1ccccc1C)(c1ccccc1C)[Pd](Cl)(Cl)[P](c1ccccc1C)(c1ccccc1C)c1ccccc1C
Cc1ccccc1[P+]([Pd-2][P+](c1ccccc1C)(c1ccccc1C)c1ccccc1C)(c1ccccc1C)c1ccccc1C,Cc1ccccc1[P]([Pd][P](c1ccccc1C)(c1ccccc1C)c1ccccc1C)(c1ccccc1C)c1ccccc1C
CC(C)(C)[P+](O)(C(C)(C)C)[Pd-2](Cl)(Cl)[P+](O)(C(C)(C)C)C(C)(C)C,CC(C)(C)P(O)C(C)(C)C~CC(C)(C)P(O)C(C)(C)C~Cl[Pd]Cl
CC(C)(C)[P+](O)([Pd-](Cl)Cl)C(C)(C)C,CC(C)(C)P(O)C(C)(C)C~CC(C)(C)P(O)C(C)(C)C~Cl[Pd]Cl~Cl[Pd]Cl
C=CC([Pd]Cl)c1ccccc1,C=C[CH-]c1ccccc1~C=C[CH-]c1ccccc1~Cl[Pd+]~Cl[Pd+]
c1ccc([P+]2(c3ccccc3)CC[P+](c3ccccc3)(c3ccccc3)[Pd-4]23[P+](c2ccccc2)(c2ccccc2)CC[P+]3(c2ccccc2)c2ccccc2)cc1,[Pd]~c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1~c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
Cl[Pd-2]1(Cl)[P+](c2ccccc2)(c2ccccc2)CC[P+]1(c1ccccc1)c1ccccc1,Cl[Pd]Cl~c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
CC(C)(C)[P+]([Pd-2][P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C,CC(C)(C)[P]([Pd][P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C
Cl[Pd-2](Cl)([N+]#Cc1ccccc1)[N+]#Cc1ccccc1,Cl[Pd]Cl~N#Cc1ccccc1~N#Cc1ccccc1
CN(C)c1ccc([P+](C(C)(C)C)(C(C)(C)C)[Pd-2](Cl)(Cl)[P+](c2ccc(N(C)C)cc2)(C(C)(C)C)C(C)(C)C)cc1,CN(C)c1ccc([P](C(C)(C)C)(C(C)(C)C)[Pd](Cl)(Cl)[P](c2ccc(N(C)C)cc2)(C(C)(C)C)C(C)(C)C)cc1
CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-](Cl)c2ccccc2-c2ccccc2N)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)=[Pd](Cl)c2ccccc2-c2ccccc2N)c(C(C)C)c1
Cl[Pd-2]1(Cl)[P+](c2ccccc2)(c2ccccc2)CC[P+]1(c1ccccc1)c1ccccc1,Cl[Pd]Cl~c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
CC(C)(C)[P+]([Pd-2][P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C,CC(C)(C)[PH]([Pd][PH](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C
CC(C)c1cccc(C(C)C)c1-n1ccn(-c2c(C(C)C)cccc2C(C)C)c1=[Pd-](Cl)(Cl)[n+]1cccc(Cl)c1,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1~Cl[Pd]Cl~Clc1cccnc1
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~O=C(/C=C/c1ccccc1)/C=C/c1ccccc1~[Pd]~[Pd],CC(=O)C=Cc1ccccc1~CC(=O)C=Cc1ccccc1~CC(=O)C=Cc1ccccc1~[Pd]~[Pd]
